                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1153,                0.64505,                 1.1084,                 0.9819,                0.93344,                0.97362,                0.63237,                 1.3063,                0.54425,                 1.1499,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0934,                0.63596,                 1.0929,                0.96545,                0.94317,                0.97237,                0.62138,                 1.2936,                0.54643,                 1.1488,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.0992,                0.62989,                 1.0889,                0.95875,                0.93984,                0.97404,                 0.6372,                  1.266,                0.51898,                  1.139,               0.000467,               0.000467,               0.000467
                     70,                 1.0789,                0.63105,                 1.0892,                0.95748,                0.97041,                0.97401,                0.62703,                 1.2626,                 0.5202,                 1.1336,             0.00045285,             0.00045285,             0.00045285
                     71,                  1.078,                0.62657,                  1.091,                0.93244,                 0.9625,                0.97131,                0.62879,                 1.2435,                0.51812,                 1.1256,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.0829,                0.61973,                 1.0861,                0.96145,                0.95945,                0.97821,                0.63582,                 1.2576,                0.50616,                 1.1341,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0563,                0.60903,                 1.0778,                0.97006,                0.95496,                0.97561,                 0.6433,                 1.2548,                0.51883,                 1.1358,             0.00041041,             0.00041041,             0.00041041
                     74,                   1.05,                0.60429,                  1.077,                0.96663,                0.92806,                0.97027,                0.64011,                 1.2574,                0.54318,                 1.1275,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0459,                0.60334,                  1.067,                0.97332,                 0.9506,                0.97466,                0.64386,                 1.2446,                 0.5076,                 1.1356,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0658,                0.60534,                 1.0772,                0.96782,                0.94607,                 0.9759,                 0.6496,                 1.2358,                0.51231,                 1.1293,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0382,                0.59649,                  1.073,                 0.9464,                0.95688,                0.97372,                0.64798,                 1.2283,                0.50567,                  1.132,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0545,                0.59934,                 1.0696,                0.98508,                0.94952,                0.97936,                 0.6586,                 1.2219,                0.49104,                 1.1224,             0.00033967,             0.00033967,             0.00033967
                     79,                  1.037,                0.59373,                 1.0666,                0.94611,                0.95409,                0.97542,                0.64874,                 1.2363,                0.50832,                 1.1254,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.0172,                0.58363,                 1.0556,                0.97988,                 0.9506,                0.97529,                0.66072,                 1.2347,                0.50605,                 1.1242,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.0141,                0.57575,                 1.0619,                0.96733,                0.96339,                0.97543,                0.66353,                 1.2033,                0.49973,                 1.1098,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0113,                0.58584,                 1.0585,                0.97454,                0.95676,                0.98033,                0.67155,                 1.1973,                0.49285,                   1.11,             0.00028308,             0.00028308,             0.00028308
